Facility Name,Facility ID,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison
Mount Jessica Memorial Hospital,TX00001,8037 Church Way,Houston,TX,31287,Houston County,(292) 371-1750,Rehabilitation Hospital,Voluntary non-profit - Church,Yes,4,Yes,Same as the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average
Texas County Hospital,TX00002,2830 Church Ave,San Antonio,TX,40072,San Antonio County,(689) 767-7413,Rehabilitation Hospital,Government - Federal,Yes,2,No,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average
Houston Medical Center,TX00003,2702 Second St,Houston,TX,69502,Houston County,(204) 629-9355,Children's Hospital,Voluntary non-profit - Other,No,4,Yes,Same as the national average,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average
Texas Health System,TX00004,7238 Washington Way,Arlington,TX,57276,Arlington County,(977) 852-6449,Children's Hospital,Government - Local,Yes,2,Yes,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Texas Community Hospital,TX00005,5185 Center St,Corpus Christi,TX,62325,Corpus Christi County,(683) 948-5576,Children's Hospital,Government - Local,Yes,3,Yes,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
Texas Regional Hospital,TX00006,3416 Oak Way,Lubbock,TX,68761,Lubbock County,(994) 304-2960,Acute Care Hospital,Voluntary non-profit - Private,No,4,Yes,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average
Texas Regional Hospital,TX00007,749 Healthcare Ave,Houston,TX,65558,Houston County,(845) 977-6258,Children's Hospital,Government - Local,Yes,Not Available,Yes,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average
Memorial Sarah Hospital,TX00008,5957 Oak Way,El Paso,TX,40190,El Paso County,(481) 817-4165,Critical Access Hospital,Proprietary,Yes,4,Yes,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
General Gary County Hospital,TX00009,1986 Center Dr,Fort Worth,TX,30898,Fort Worth County,(818) 781-2039,Acute Care Hospital,Voluntary non-profit - Other,Yes,Not Available,Yes,Above the national average,Above the national average,Below the national average,Below the national average,Above the national average,Above the national average
Texas Clinic,TX00010,9221 Maple Blvd,Lubbock,TX,42090,Lubbock County,(586) 930-8981,Children's Hospital,Voluntary non-profit - Other,Yes,4,Yes,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Above the national average
Corpus Christi Hospital,TX00011,6938 Washington Dr,Corpus Christi,TX,88470,Corpus Christi County,(782) 512-9369,Rehabilitation Hospital,Voluntary non-profit - Other,No,3,Yes,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Same as the national average
Austin University Hospital,TX00012,9104 First Blvd,Austin,TX,78001,Austin County,(580) 682-1773,Rehabilitation Hospital,Voluntary non-profit - Church,Yes,Not Available,Yes,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
Austin General Hospital,TX00013,2682 Lincoln Way,Austin,TX,57881,Austin County,(457) 593-7137,Long-Term Care Hospital,Government - Federal,Yes,4,Yes,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
